text,label
"hırsız demişken tuncay sizin şu 1.200 bin tl'lik faturayı naptınız malum millete kitlesiniz ya, sizden âlâ hırsız varmı bu ülkede banka soyarken kâr maskesi ülke soyarken atatürk'ün maskesi çoooooookk yüzsünüz chp olarak...",1
ne bileyim sen hastayım deyince bende veteriner okumaya karar verdim,1
akşam eve gittiğimizde yorgunluğuma iyi gelecek bi bayan olmalı evde,1
kook’un sesini 18381 kez dinledikten sonra eğer devam edersem ağlamaktan gözüm şişer annem ağzıma sıçar hangsang dinleyip enerji toplıyım,1
o macta adam 6 7 tane net sut cikartti aksini soleyen ya maldir yada futboldan anlamiyodur buna benzer bir pozisyon da wesley uzaktan attigi golun birinde de ayni pozisyon vardi ozaman bunu size en iyi volkan aciklar kudurun fesat ibneler.,1
bim ve a101 kaliteli ürün satıyor diyen a salaklar var. ulan gramajlardan çalıyor haberiniz yok.. bir çok ünlü firmanın ürünlerini niye bulamıyorsunuz bim de?,1
xiumin tam 1 keş. ne kadar içiyorsa artık insanların vayy diyeceği şişe numaraları yapıyor. çok kadın düşürmüştür diyecektim dr evde içiyor :dddd,0
kahvehanede çok muhabbet etmişsin.desteksiz at.yav sana vekil diye önümüze koyanın amına koyum ben.,1
ondan sonra bu sapık adam sikini bana sürttü.,1
"herkes aşk acısı çeker,herkes ihanete ugrar, herkes aldatılır peki bu aldatanlar kim biri da çıkıp desin ki ben aldattım ibneliğin en büyügünü yabdım",1
cunku ilgilenmiyorum. azicik cool olun orjinal falan olun baskasindan otlanarak nereye kadar,1
"""diyarbakır'ın dicle"" ilçesinde kahpe korkak emperyalizmin fahişeleri pkk tarafından tuzaklanan eyp ile 2 şehit olan yiğit vatansever askerlerimizin mekanları cennet olsun",1
ağlıyorum salaak. sen nasıl bir şeysin. beni sesine sakla.,1
watsons’ın 444 9 987 numarasında korktun muuu diyen beyinsiz konuşuyor inanılır gibi değil agahshsj,1
karını verde bi güzel sikeyim,1
kız kardeşimin arkadaşı gelip bizde kalmıştı 30 fava olanları anlatırım,0
bu hayat tarzını anlamak mümkün değil. çoluk çocuk sahibi ol. anne ol yani yine de bu şekilde barlarda fink at. vay değer yargısı vay,1
serrod 26 points 9 assist...mac sonu me: yazın serrode cokmeyenler aglamasin!!!,0
lord of the sıçırt çıkcak benden az kaldı,1
düğünümde babam: söyleyin o damat olacak zibidiye kızımın etrafında dolaşıp durmasın,1
"köpek soyu,kürtlere verdiğin zararın hadi hasabı yok hain.soyun kurusun,inşallah birgül ailece geberip gidersin.",1
çok bulamıyorum... bu gün mecidiyeköyde bir hanfediye gittim. içime sinmedi sikişmeden döndüm...,1
vekilim çok güzel söylediniz ağzınıza sağlık bundan sonra hep böyle olacak onlarda hizaya gelecekler allahcc izni ile insaallah büyük türkiye için el ele hep birlikte,1
insan olarak gelişimine katkı olduğu hali buysa yazık. ama yine de arsen wengere teşekkürler. demek ki bir orrrrrospu çocuğundan ibne seviyesine çıkarmış seni.,1
kellesi alinacak olanlar hergun artiyor...,1
bir reklamda küçük bi kız on yüz bin. baloncuk yuttum dediydi bu hain on yüz bin daeşli yuttu,1
ölünüzü dirinizi her gün birinizi sikecez surda siktiklerimiz yetmemis anlasilan kahpe dönek orospu evladı,1
"""caner erkin""e bilenmişler :) ligde kimler ne küfürler etti kimse ceza almadı, adama önce 6 maç sonra hapis aman sakın tecavüzcülerle , sapıklarla , hırsızlarla ilgilenmeyin ama caneri attırın ülkeyi kurtarın aq işsizleri.",1
şu tipe para kaptıranların beynini sikeyim,1
ula iblis karı ichayla tapasyanın arasını bozduğun yetmiyormuş gibi şimdi de bu torunlara sardın kafayı allahım tutmayın beni,1
yaşlı cadı zamanında az zehirleme di tapuyu sıra geldi kızına herkesin hayatını zehirleyen mahve den sen oldun bir geberme di,1
"vartolu diyince , otomatikman çiğeriniz pert oluyor.",0
beyaz ayakkabilarimi giydiğim an bütün her yer bir anda çamur oluyo aq sinir oluyorum,1
"bir erkeğin yalnız kalmasını anlarımda kadının anlamam. düşünsene düzenli olarak trip atman gerekiyor atamıyon, içine atıyon. yazık lan osodkfofkfk",1
after before u yanlış yazmışsın amk,1
hala ücret ne kadar diyen geri zekalılar var. seksin karşılığı paramıdr ya.birde ücretli çiftler sözüm size madem para kazanıcaksınız gidein genel evinde kazanın. genel evde olunca orosbu ama swinger ücret olunca namuslu hadi ordan az ötede oynayın,1
yıllardır birlikteliğin var manyak adam ne diye hala beni izlersin bişey beklersin bundan eminin herşeyi biliyorum bide aptala bak basket sayfası basket konuşmaları birden tacizci sapık orspu takip etme sanki birden adelet bakanı seçilmiş şort giyen kıza yazmalar yardımlar,1
benim mutluluk hormonum mu bitti aq niye mutlu olamıyorum,1
"sosyal demokrat olduğunu iddia eden chp, geçmişte iktidardayken veya muhalif olarak statükocuları desteklerken daima dindarlara hayatı zehir eden “sosyal faşist “bir politika izlemiştir. bunlar önce geçmişlerini sorgulamalıdır.",1
kibiliyin tikipiçiliri birini sillimiş allahın beyinsizi neden bugün sollamış azıcık o aklını çalıştır bakayım. ay yeminle sinir harbi burası. hepiniz hayatlarının içinde yaşıyorsunuz tamam aq her şeyi biliyorsunuz yeter.dizi izlemiyor dünyayı yönetiyor sandınız kendinizi.,1
"yenerek ayrılalım şl nden, rte, fb ve gs liler fark yememizi istiyor diye fark yedirecekler. hoffenheim den 5 yiyen bfk karsisindaki puan kaybımız da, meşruiyet kazanacak akıllarsıra! uyumadan takip 2 maçı da! anırmaya benzemiyor merkel e. çağırın rte yi, bayern maçına!",1
"bu saçma bir anket,adama mercedes vito mu yoksa üst seviye ter kokulu tofaş mı diye sormakla aynı",0
bu da işaret ilerde semazenler gibi a seri dönüş yapacak o boşuna demedik kdmgkfjv,0
yapmayın ebru hanım neden sizde nagihanla anlasamadiniz ozaman atakan yalancı çıkarcı diyordu hepiniz nagihandan yakiniyordunuz sizmi yalanciydiniz. 2016 da da sevilmediyse bu kadinda birşey varki herkes rahatsız,1
eli iş tutmayan beylerimiz gelmiş burada boş yapıyor,1
hesabı erkeklerin ödemek zorunda olduğunu savunan tayfa ya beynini kullanmıyordur ya dagörgüsüz bi köy peyniridir,1
"evet evet ilahiyatın sapık ,hadis inkarcısı ve ihlassız sözde hocalarını toplumu zehirlemek için kullanabilirsiniz bende bir ilahiyat öğrencisiyim ve herşeye şahidim.",1
"hep beraber nato'ya karşı çıkmalısınız. yalnız elinizdeki paçavraları çöpe atacaksınız. hem fahişelik yapıp, nato'ya alttan destek vereceksin hem de sözde kürdistan paçavralarıyla halay çekip nato'ya karşıyız diyeceksin. hoşt ki ne hoşt...",1
"şu salağın snap fotosuna bi bak dedi baktım, hakkaten salak. ayrıca sana hiç yakışmamış. okursun.",1
sana 2 yüzlü desem 3ün hatrı kalır 4 desem 5in bu böyle uzar...,1
"tepkisizliğiniz ruhsuzluğunuzdan değil arkadaşlar, farkında olmadan karşı taraf korkunç rezilleşmiş gözünüzde, alışmışsınız şaşıramıyorsunuz sadece.",0
"sadece izlemekle kalmıyor yutup sindiriyorsunuz da maaşallah. aynı şeyleri zamanında akp genel başkanı söylerken neden efelenmediniz, gıkınız çıkmadı. herşeyiniz sahte, tepkiniz bile. yazıklar olsun size",1
ulan millet 5 tane sevgili yapıyor oteki insanın bi tane bile yok yavaşin amk.hic biri kaçmıyor..,1
meral.....!!!!!! terörle mücadele...!!!! kendi kendine gelin güvey oluyor.fetö ile darbede başarısız olunca şaşırdı artık,1
arkasina bakmadan kaciyor bunlar bir boka yarayan adaminiz yok,1
hahaha ulan onlara satan kulüp değil mi zaten çocuk mu kandırıyorsunuz siz.,0
takibe aldığım son on profil feminen.abazı mıyım nedir amına koyayım.,1
"çiftlik bank olayı bir kez daha gösterdi ki eğer bu ülkede; - allah, kitap derseniz - vatan, millet edebiyatı yaparsanız - kolay kazanç vadederseniz yapamayacağınız iş yok. dolandırılanlara zerre kadar üzülmüyorum. çünkü her şeyi hakediyorsunuz. su veren itfaiyenin hortumunu s...",1
boyum kaç y_a_ğ yakarken kas yapılabilir mi | soru cevap,0
allah rahmet eylesin yaralı askerlerimiz acil şifalar versin inşallah,0
"canın yandığında koştuğun insan da canını yakınca, nereye gideceğini bilmiyor insan.",0
düşünüyorum dedim ama gaz vermekte üstüne yok biliyorsun değil mi?,0
biri çıkar ve bildiğin tüm ezberleri bozar hayatını yeniden yazar ...,0
ince ruhlu biri olmakta zor be,0
"acılarla kederimi, sinirimi öfkemi, üzülürsün diye senden gizledim",0
bize dert olup başkasına derman olanları da unutmaz bu yürekler rahat olun.,0
